kind,sort_key
municipality,252
county,254
Admin-1 boundary,256
state,256
1st Order Admin Line,256
Admin-1 region boundary,257
Indefinite (please verify),259
Indeterminant frontier,259
Lease limit,259
Overlay limit,259
Line of control (please verify),260
Disputed (please verify),261
Admin-0 country,262
country,262
International boundary (verify),262
dam,263
*,250
